System_name,Account_ID,Employee_NO,Lenel_ID,Email_Address,AD_Account,Creation_Date,Last_Signon,Last_Password_Change,Status,Role_Code,CCM Access,Staff Access
S4423552,ABSACCM,9999999, , , ,2005-04-14,2020-04-15,2020-04-15,ACTIVE, , , 
S4423552,ABTEST,9999999, , , ,2020-04-15,2020-04-15,2020-04-15,ACTIVE, , , 
S4423552,ABUITENDAG,9999999, , , ,2017-12-12,2020-04-15,2020-04-16,ACTIVE, , , 
S4423552,ABUITENDA2,9999999, , , ,2018-07-12,2019-09-01,2020-04-15,INACTIVE, , , 
S4423552,AFB1,0006755, , , ,2014-10-03,2020-04-07,2020-04-07,ACTIVE,EQNGRPFIN,P,P
S4423552,AFB2,0023026, , , ,2018-08-08,2020-04-09,2020-04-09,ACTIVE,ICIBFCBKN, , 
S4423552,AFB7,0012141, , , ,2015-02-06,2020-04-03,2020-04-03,ACTIVE,PBTRANSMON, , 
S4423552,AFB8,0017243, , , ,2015-02-20,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,AFC3,0021437, , , ,2019-05-21,2020-04-15,2020-04-15,ACTIVE,PBFINADOM,E,E
S4423552,AFC4,0019546, , , ,2019-05-21,2020-01-14,2020-02-14,INACTIVE,PBFINADOM, , 
S4423552,AFC6,0023737, , , ,2018-10-22,2020-04-15,2020-04-15,ACTIVE,WIRCHEAD, , 
S4423552,AFC7,0017818, , , ,2015-05-06,2020-04-01,2020-04-01,ACTIVE,EQNGRPFIN, , 
S4423552,AFD3,0028567, , , ,2019-03-08,2019-09-05,2020-02-04,INACTIVE,ICIBFCENQ, , 
S4423552,AFD4,0013443, , , ,2015-09-29,2020-04-09,2020-04-09,ACTIVE,ICIBEX,E, 
S4423552,AFF1,0019626, , , ,2017-12-19,2020-04-15,2020-04-15,ACTIVE,ICIBEX, , 
S4423552,AFF4,0027715, , , ,2019-02-26,2020-01-08,2020-02-08,INACTIVE,ICIENQ, , 
S4423552,AFF5,0019488, , , ,2016-07-14,2020-04-01,2020-04-01,ACTIVE,PBFINACC, , 
S4423552,AFG2,0019216, , , ,2016-10-18,2020-04-15,2020-04-15,ACTIVE,PBQDISPUTE,P,P
S4423552,AFK3,0022224, , , ,2017-06-13,2020-04-15,2020-04-15,ACTIVE,ICICCMBO, , 
S4423552,AFK6,0022457, , , ,2017-08-17,2020-04-15,2020-04-15,ACTIVE,ICIBEX, , 
S4423552,AFL2,0020247, , , ,2017-09-13,2020-04-01,2020-04-01,ACTIVE,PBFINACC, , 
S4423552,AFM1,0026313, , , ,2018-10-01,2020-03-26,2020-03-31,ACTIVE,PBBTT, , 
S4423552,AFM2,0019510, , , ,2017-10-27,2020-04-14,2020-04-14,ACTIVE,ICIBFCENQ, , 
S4423552,AFN4,0020120, , , ,2018-04-09,2020-04-15,2020-04-15,ACTIVE,PBBTT, , 
S4423552,AFN5,0021747, , , ,2018-04-16,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ,E, 
S4423552,AFP4,0019495, , , ,2019-02-21,2020-04-15,2020-04-15,ACTIVE,PBTRANSMON,E, 
S4423552,AF06,0000251, , , ,1989-05-08,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,AF10,0024136, , , ,2019-01-02,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ, , 
S4423552,AF11,0015288, , , ,2018-03-02,2020-04-08,2020-04-08,ACTIVE,PBBTT, , 
S4423552,AF13,0015637, , , ,2009-12-15,2020-04-10,2020-04-09,ACTIVE,PBFINACC, , 
S4423552,AF14,0023464, , , ,2018-02-15,2020-04-15,2020-04-15,ACTIVE,ICIBZM, , 
S4423552,AF15,0023725, , , ,2018-05-31,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ, , 
S4423552,AF18,0013442, , , ,2009-01-23,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,AF24,0015055, , , ,2018-02-15,2020-04-01,2020-04-01,ACTIVE,SSSCHEQN, , 
S4423552,AF27,0001639, , , ,1990-10-01,2020-04-15,2020-04-15,ACTIVE,ICIBZL,P, 
S4423552,AF28,0010963, , , ,2005-08-01,2020-04-15,2020-04-15,ACTIVE,ICIBZM,P, 
S4423552,AF29,0024371, , , ,2018-09-14,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ, , 
S4423552,AF36,0017977, , , ,2012-08-21,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,AF45,0017544, , , ,2011-10-31,2020-04-14,2020-04-14,ACTIVE,ICIBFCENQ, , 
S4423552,AF54,0015263, , , ,2018-09-25,2020-03-30,2020-03-26,ACTIVE,PBCLNTMNT, , 
S4423552,AF81,0018547, , , ,2013-09-19,2020-04-06,2020-04-06,ACTIVE,PBFINACC, , 
S4423552,AF82,0001326, , , ,2019-01-17,2019-10-02,2019-11-02,INACTIVE,PBACC, , 
S4423552,AF83,0020115, , , ,2019-05-24,2020-04-15,2020-04-15,ACTIVE,PBFINACC, , 
S4423552,AF96,0017516, , , ,2014-02-10,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,AF97,0018502, , , ,2013-08-14,2020-04-15,2020-04-15,ACTIVE,EQNGRPFIN, , 
S4423552,ALERT,9999999, , , ,1996-10-14,2020-04-16,2020-04-16,ACTIVE, , , 
S4423552,ALERTCC,9999999, , , ,2018-03-08,2020-04-15,2020-03-10,ACTIVE, , , 
S4423552,ALERT01,9999999, , , ,1996-10-14,2020-04-12,2020-04-16,INACTIVE, , , 
S4423552,AM39,0008624, , , ,2009-03-25,2020-04-07,2020-04-07,ACTIVE,PBACC, , 
S4423552,AP01,9999999, , , ,2002-09-12, ,2019-05-16,INACTIVE, , , 
S4423552,AP02,9999999, , , ,2002-10-21, ,2019-05-16,INACTIVE, ,P,P
S4423552,AP03,9999999, , , ,2002-10-24, ,2019-05-16,INACTIVE, ,P,P
S4423552,AP05,9999999, , , ,2002-12-12, ,2019-05-16,INACTIVE, , , 
S4423552,AP06,9999999, , , ,2005-07-13, ,2019-05-16,INACTIVE, , , 
S4423552,AP07,9999999, , , ,2005-08-04, ,2019-05-16,INACTIVE, , , 
S4423552,AS25,0017009, , , ,2014-01-07,2020-04-15,2020-04-15,ACTIVE,DCOLBADMIN, ,E
S4423552,AS38,0017831, , , ,2015-04-09,2020-04-15,2020-04-16,ACTIVE,PBAPPS,P,P
S4423552,BRMSNETWRK,9999999, , , ,2015-06-11,2020-04-16,2020-03-10,ACTIVE, , , 
S4423552,BRMSREPS,9999999, , , ,2015-06-18,2020-04-16,2020-04-16,ACTIVE, , , 
S4423552,CAPETOWN,9999999, , , ,1989-05-08,2020-02-26,2020-02-27,INACTIVE, , , 
S4423552,CDPROD,9999999, , , ,1995-08-29,2020-01-02,2020-01-30,INACTIVE, , , 
S4423552,COURIER,9999999, , , ,2001-12-11,2020-04-16,2020-04-16,ACTIVE, , , 
S4423552,CT03,0013029, , , ,2007-08-20,2020-03-30,2020-03-30,INACTIVE,ICIBIO,E, 
S4423552,CT04,0013274, , , ,2012-06-20,2020-04-09,2020-04-09,ACTIVE,ICIBIO,E, 
S4423552,CT05,0010247, , , ,2009-02-04,2020-04-07,2020-04-07,ACTIVE,PBFINACC, , 
S4423552,CT08,0002905, , , ,2017-12-21,2020-04-15,2020-04-15,ACTIVE,PBBTT, , 
S4423552,CT12,0002933, , , ,1998-09-02,2020-01-10,2020-04-16,INACTIVE,PBFINACC, , 
S4423552,CT14,0016602, , , ,2010-05-07,2020-04-15,2020-04-15,ACTIVE,PBCCMIC,E, 
S4423552,CT24,0003536, , , ,1997-04-10,2020-04-15,2020-04-15,ACTIVE,PBCCMIC,E, 
S4423552,CT83,0002934, , , ,2003-10-17,2020-04-14,2020-04-14,ACTIVE,ICIBSF,E, 
S4423552,CT89,0013352, , , ,2007-11-02,2020-04-15,2020-04-15,ACTIVE,PBBTT, , 
S4423552,CT92,0012514, , , ,2007-03-15,2020-04-15,2020-04-15,ACTIVE,ICIBSF, , 
S4423552,CT96,0012696, , , ,2007-05-07,2020-04-15,2020-04-15,ACTIVE,PBCCMIC,E, 
S4423552,CT97,0010525, , , ,2015-01-30,2020-04-14,2020-04-14,ACTIVE,PBCCMIC,E,E
S4423552,DB05,0011556, , , ,2006-03-27,2020-04-02,2020-04-02,ACTIVE,PBBTT, , 
S4423552,DB07,0003244, , , ,2008-11-26,2020-04-15,2020-04-15,ACTIVE,PBBTT, , 
S4423552,DB09,0011798, , , ,2006-06-15,2020-04-15,2020-04-15,ACTIVE,PBBTT, ,E
S4423552,DB48,0016891, , , ,2010-10-15,2020-04-15,2020-04-15,ACTIVE,PBBTT, , 
S4423552,DB49,0016486, , , ,2010-12-07,2020-04-15,2020-04-15,ACTIVE,PBCCMIC,E, 
S4423552,DB51,0004518, , , ,2008-02-21,2020-04-15,2020-04-15,ACTIVE,PBBTT, ,E
S4423552,DB52,0010260, , , ,2009-04-09,2020-04-15,2020-04-15,ACTIVE,PBBTT, ,E
S4423552,DB53,0003094, , , ,2010-12-07,2020-04-03,2020-04-03,ACTIVE,PBACC, , 
S4423552,DB59,0021627, , , ,2016-11-03,2020-04-02,2020-04-02,ACTIVE,PBBTT, , 
S4423552,DB63,0018877, , , ,2019-03-25,2020-03-16,2020-04-16,INACTIVE,PBCCMBO,P,P
S4423552,DCOLBADMIN,9999999, , , ,2019-04-10,2020-04-15,2020-04-16,INACTIVE, , , 
S4423552,DPA4,0020645, , , ,2019-05-27,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,DPA6,0028706, , , ,2019-02-26,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,DPB4,0023439, , , ,2018-01-30,2020-04-15,2020-04-15,ACTIVE,ICIPRICE,P,P
S4423552,DPC8,0013751, , , ,2009-11-23,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN,P,P
S4423552,DPE5,0023488, , , ,2019-06-21,2020-04-15,2020-04-15,ACTIVE,ICIBTBSUP, , 
S4423552,DPE6,0019535, , , ,2019-01-29,2020-04-15,2020-04-15,ACTIVE,ICIBTBSUP, , 
S4423552,DPE7,0019682, , , ,2018-05-10,2020-04-15,2020-04-15,ACTIVE,GRCSC, , 
S4423552,DPF2,0023770, , , ,2019-04-25,2020-04-15,2020-04-15,ACTIVE,ICIBTBSUP, , 
S4423552,DPG1,0019872, , , ,2017-05-10,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,DPK5,0018289, , , ,2013-03-18,2020-04-01,2020-04-01,ACTIVE,ICIBTS,E, 
S4423552,DPN5,0019263, , , ,2014-06-11,2019-09-23,2019-10-24,INACTIVE,ICIBFCBKN, , 
S4423552,DPQ3,0017908, , , ,2014-12-30,2020-03-20,2020-03-20,ACTIVE,ICIBTS, , 
S4423552,DPR1,0018847, , , ,2015-01-27,2020-04-15,2020-04-15,ACTIVE,ICIBTS,E, 
S4423552,DPR2,0019678, , , ,2019-06-05,2020-04-15,2020-04-15,ACTIVE,PBQA, , 
S4423552,DPS1,0018726, , , ,2015-04-23,2019-10-28,2020-02-04,INACTIVE,ICIBEX, , 
S4423552,DPT4,0020982, , , ,2018-01-30,2020-04-15,2020-04-15,ACTIVE,PBACCMAINT,P,P
S4423552,DPT6,0020791, , , ,2016-04-20,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,DPT7,0020833, , , ,2019-04-03,2020-04-15,2020-04-15,ACTIVE,PBREID, , 
S4423552,DPU2,0023471, , , ,2018-02-20,2020-04-14,2020-04-14,ACTIVE,ICIBFCENQ, , 
S4423552,DPU9,0017774, , , ,2018-04-03,2020-04-15,2020-04-15,ACTIVE,ICIPRICE,P,P
S4423552,DPV3,0021083, , , ,2016-07-14,2020-04-03,2020-04-03,ACTIVE,SBRECONS,E,E
S4423552,DPW2,0021496, , , ,2016-10-03,2020-04-15,2020-04-15,ACTIVE,PBFINADMIN,P,P
S4423552,DPX2,0021547, , , ,2019-03-11,2020-03-17,2020-03-17,ACTIVE,ICIBSMART, , 
S4423552,DPY1,0017576, , , ,2016-12-12,2020-04-15,2020-04-15,ACTIVE,ICIBZM, , 
S4423552,DPY2,0021766, , , ,2019-02-08,2020-04-15,2020-04-15,ACTIVE,PBAUTH,P,P
S4423552,DPY3,0027535, , , ,2018-12-05,2020-04-15,2020-04-15,ACTIVE,PBPAYMENTS,P,P
S4423552,DPY7,0021090, , , ,2017-02-06,2020-04-15,2020-04-15,ACTIVE,PBCCMBO,P,P
S4423552,DPZ5,0021972, , , ,2019-11-11,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ,E, 
S4423552,DP01,0013230, , , ,2007-09-19,2020-04-15,2020-04-15,ACTIVE,ICIBZMTL, , 
S4423552,DP12,0016793, , , ,2010-08-16,2020-04-15,2020-04-15,ACTIVE,ICIBZL,P, 
S4423552,DP13,0011692, , , ,2009-11-04,2020-04-15,2020-04-15,ACTIVE,ICIPRICE,P,P
S4423552,DP15,0015937, , , ,2009-08-12,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,DP17,0003160, , , ,1990-11-15,2020-03-19,2020-03-19,ACTIVE,ICIBTS, , 
S4423552,DP19,0000672, , , ,1990-12-12,2020-04-15,2020-04-15,ACTIVE,PBAUTH,P,P
S4423552,DP21,0017000, , , ,2010-12-23,2020-04-15,2020-04-14,ACTIVE,ICIBIO,E, 
S4423552,DP25,0021565, , , ,2018-10-04,2020-04-15,2020-04-15,ACTIVE,PBCSCCON,E, 
S4423552,DP27,0018342, , , ,2018-10-04,2020-04-15,2020-04-15,ACTIVE,PBCSCCON,E, 
S4423552,DP29,0028429, , , ,2019-02-21,2020-04-15,2020-04-15,ACTIVE,PBINVMCON, , 
S4423552,DP31,0019030, , , ,2019-02-21,2019-11-13,2020-03-03,INACTIVE,PBCSCCON,E, 
S4423552,DP32,0001861, , , ,2019-03-28,2020-03-23,2020-03-23,ACTIVE,ICIBFCENQ, , 
S4423552,DP33,0023600, , , ,2019-06-19,2020-04-15,2020-04-15,ACTIVE,PBCSCCON,E, 
S4423552,DP40,0015513, , , ,2008-10-03,2020-04-15,2020-04-15,ACTIVE,ICIBZMTL,P,P
S4423552,DP44,0016071, , , ,2009-12-11,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,DP66,0006196, , , ,2010-11-10,2020-04-15,2020-04-15,ACTIVE,PBCCMBO,P,P
S4423552,DP67,0017080, , , ,2011-01-24,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,DP73,0016947, , , ,2010-11-18,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,DP78,0017006, , , ,2010-12-23,2020-03-16,2020-04-16,INACTIVE,ICIBFXI,E, 
S4423552,DP80,0009152, , , ,2004-01-12,2020-04-15,2020-04-15,ACTIVE,ICIBTS,E, 
S4423552,DP82,0016962, , , ,2010-11-15,2020-03-09,2020-04-09,INACTIVE,ICIBEX,E, 
S4423552,DP95,0010702, , , ,2005-04-25,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN,P, 
S4423552,DP98,0020518, , , ,2016-01-04,2020-04-15,2020-04-15,ACTIVE,ICICCMBO,P, 
S4423552,DTPROD,9999999, , , ,2020-04-08,2020-04-16,2020-04-15,ACTIVE, , , 
S4423552,DTUAT,9999999, , , ,2020-01-15,2020-04-16,2020-04-12,ACTIVE, , , 
S4423552,ENDPASTHR,9999999, , , ,2005-09-04, ,2020-04-13,INACTIVE, , , 
S4423552,EQJV,9999999, , , ,2012-11-16,2020-04-16,2020-04-16,ACTIVE, ,P,P
S4423552,EQNGRPFIN,9999999, , , ,2019-04-10,2020-04-15,2020-04-16,INACTIVE, , , 
S4423552,EQNHRENQ,9999999, , , ,2019-04-10,2020-04-15,2020-04-16,INACTIVE, , , 
S4423552,EQNINVBUS,9999999, , , ,2019-04-10,2020-04-15,2020-04-16,INACTIVE, , , 
S4423552,EQNPROPGRP,9999999, , , ,2019-04-10,2020-04-15,2020-04-16,INACTIVE, , , 
S4423552,EQSUPPORT,9999999, , , ,1996-08-19,2020-04-16,2020-04-16,INACTIVE, , , 
S4423552,EQTA,9999999, , , ,2001-07-23,2020-04-16,2020-04-16,ACTIVE, , , 
S4423552,EQUATION,9999999, , , ,1995-05-12,2020-04-16,2020-04-16,INACTIVE, , , 
S4423552,EQUSER,9999999, , , ,1995-07-11,2020-04-15,2020-04-16,INACTIVE, ,P,P
S4423552,ESSBASE,9999999, , , ,2004-03-30,2020-04-15,2019-12-05,ACTIVE, , , 
S4423552,E004,0031378, , , ,2019-07-09,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,E006,0031356, , , ,2019-07-10,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,E008,0021122, , , ,2019-07-11,2020-04-06,2020-04-06,ACTIVE,PBFINACC, , 
S4423552,E010,0032337, , , ,2019-07-12,2020-04-09,2020-04-09,ACTIVE,ICIBTBSUP, , 
S4423552,E012,0019908, , , ,2019-07-15,2020-04-14,2020-04-14,ACTIVE,DCOLBADMIN, , 
S4423552,E013,0031457, , , ,2019-07-19,2020-04-15,2020-04-15,ACTIVE,PBFINADMIN,E, 
S4423552,E017,0031375, , , ,2019-07-23,2020-04-03,2020-04-03,ACTIVE,PBREGOPS, , 
S4423552,E018,0012211, , , ,2019-07-25,2019-09-09,2019-10-10,INACTIVE,PBERM, , 
S4423552,E019,0018434, , , ,2019-07-26,2020-04-08,2020-04-08,ACTIVE,ICIBCOTM,E, 
S4423552,E022,0031461, , , ,2019-07-28,2020-01-20,2020-01-20,INACTIVE,PBREGOPS, , 
S4423552,E027,0021851, , , ,2019-07-29,2020-04-15,2020-04-15,ACTIVE,ICIBCO, , 
S4423552,E029,0027733, , , ,2019-07-29,2020-01-16,2020-02-16,INACTIVE,ICIBFCENQ,E, 
S4423552,E030,0031460, , , ,2019-07-29,2020-04-14,2020-04-14,ACTIVE,PBREGOPS, , 
S4423552,E033,0031487, , , ,2019-07-29,2020-04-08,2020-04-08,ACTIVE,PBREGOPS, , 
S4423552,E034,0020025, , , ,2019-08-01,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ, , 
S4423552,E035,0010739, , , ,2019-08-05,2020-04-09,2020-04-09,ACTIVE,GRCSC, , 
S4423552,E037,0027728, , , ,2019-08-06,2020-01-02,2020-02-02,INACTIVE,EQNGRPFIN, , 
S4423552,E039,0031468, , , ,2019-08-07,2020-04-16,2020-04-16,ACTIVE,ICIBFCENQ, , 
S4423552,E042,0015649, , , ,2019-08-08,2020-04-15,2020-04-15,ACTIVE,PBINFDOC,E,E
S4423552,E046,0017042, , , ,2019-08-16,2020-03-31,2020-03-31,ACTIVE,PBQA, , 
S4423552,E048,0031526, , , ,2019-08-21,2020-04-15,2020-04-15,ACTIVE,PBACCMAINT, , 
S4423552,E049,0008678, , , ,2019-08-22,2020-04-15,2020-04-15,ACTIVE,ICIBSFCO, , 
S4423552,E050,0031459, , , ,2019-08-30, ,2019-09-30,INACTIVE,SSSCHEQN, , 
S4423552,E051,0018182, , , ,2019-08-30, ,2019-09-30,INACTIVE,PBINVMCON,E, 
S4423552,E052,0027930, , , ,2019-09-04,2020-04-09,2020-04-09,ACTIVE,PBREGOPS, , 
S4423552,E053,0024286, , , ,2019-09-06,2020-04-14,2020-04-14,ACTIVE,PBREGOPS, , 
S4423552,E056,0028406, , , ,2019-09-06,2020-04-15,2020-04-15,ACTIVE,PBINVMCON,E, 
S4423552,E057,0021138, , , ,2019-09-06, ,2019-12-11,INACTIVE,PBTRANSMON, , 
S4423552,E058,0018875, , , ,2019-09-06,2019-09-30,2020-03-10,INACTIVE,PBREGOPS, , 
S4423552,E059,0019570, , , ,2019-09-06,2020-01-16,2020-02-16,INACTIVE,PBTRANSMON, , 
S4423552,E060,0017807, , , ,2019-09-11,2019-10-09,2019-11-09,INACTIVE,ICIENQ, , 
S4423552,E061,0024001, , , ,2019-09-06,2020-04-06,2020-04-06,ACTIVE,PBQA, , 
S4423552,E062,0001292, , , ,2019-09-06,2019-12-09,2020-01-09,INACTIVE,ICIBFXI, , 
S4423552,E063,0023318, , , ,2019-09-06, ,2019-10-07,INACTIVE,PBREGOPS, , 
S4423552,E064,0022251, , , ,2019-09-06,2020-01-02,2020-02-02,INACTIVE,ICIBBSF, , 
S4423552,E065,0026344, , , ,2019-09-06, ,2019-10-07,INACTIVE,PBREGOPS, , 
S4423552,E066,0020922, , , ,2019-09-06, ,2019-10-07,INACTIVE,PBREGOPS, , 
S4423552,E067,0020706, , , ,2019-09-06, ,2019-10-07,INACTIVE,PBREGOPS, , 
S4423552,E068,0023555, , , ,2019-09-06,2020-03-02,2020-04-02,INACTIVE,PBREGOPS, , 
S4423552,E069,0027603, , , ,2019-09-06,2020-04-14,2020-04-14,ACTIVE,PBREGOPS, , 
S4423552,E070,0022408, , , ,2019-09-06,2020-04-06,2020-04-06,ACTIVE,PBREGOPS, , 
S4423552,E071,0027345, , , ,2019-09-06,2020-04-14,2020-04-14,ACTIVE,PBREGOPS, , 
S4423552,E072,0023736, , , ,2019-09-06,2020-04-15,2020-04-15,ACTIVE,PBREGOPS, , 
S4423552,E073,0021825, , , ,2019-09-06,2019-11-27,2019-12-28,INACTIVE,PBREGOPS, , 
S4423552,E074,0027597, , , ,2019-09-06,2020-04-14,2020-04-14,ACTIVE,PBREGOPS, , 
S4423552,E075,0018314, , , ,2019-09-06,2020-04-14,2020-04-14,ACTIVE,ICIBTBSUP, , 
S4423552,E077,0020934, , , ,2019-09-06,2019-09-27,2019-10-28,INACTIVE,PBREGOPS, , 
S4423552,E078,0027501, , , ,2019-09-06, ,2019-10-07,INACTIVE,PBREGOPS, , 
S4423552,E079,0021632, , , ,2019-09-06, ,2019-10-07,INACTIVE,PBREGOPS, , 
S4423552,E080,0027606, , , ,2019-09-06,2020-04-15,2020-04-15,ACTIVE,PBREGOPS, , 
S4423552,E081,0023413, , , ,2019-09-06, ,2019-10-07,INACTIVE,PBREGOPS, , 
S4423552,E083,0021087, , , ,2019-09-06,2019-10-15,2019-10-15,INACTIVE,PBREGOPS, , 
S4423552,E085,0027736, , , ,2019-09-06,2019-11-18,2019-12-19,INACTIVE,PBREGOPS, , 
